# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	190	255	+					thrL		ECB_00001	66		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	190	255	+	ACT37694.1			thr operon leader peptide	thrL		ECB_00001	66	21	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	336	2798	+					thrA		ECB_00002	2463		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	336	2798	+	ACT37695.1			bifunctional aspartokinase I/homeserine dehydrogenase I	thrA		ECB_00002	2463	820	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2800	3732	+					thrB		ECB_00003	933		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2800	3732	+	ACT37696.1			homoserine kinase	thrB		ECB_00003	933	310	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	3733	5019	+					thrC		ECB_00004	1287		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	3733	5019	+	ACT37697.1			threonine synthase	thrC		ECB_00004	1287	428	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	5232	5528	+					yaaX		ECB_00005	297		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	5232	5528	+	ACT37698.1			hypothetical protein	yaaX		ECB_00005	297	98	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	5681	6457	-					yaaA		ECB_00006	777		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	5681	6457	-	ACT37699.1			hypothetical protein	yaaA		ECB_00006	777	258	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	6527	7957	-					yaaJ		ECB_00007	1431		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	6527	7957	-	ACT37700.1			predicted transporter	yaaJ		ECB_00007	1431	476	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	8236	9189	+					talB		ECB_00008	954		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	8236	9189	+	ACT37701.1			transaldolase B	talB		ECB_00008	954	317	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	9304	9891	+					mogA		ECB_00009	588		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	9304	9891	+	ACT37702.1			molybdenum cofactor biosynthesis protein	mogA		ECB_00009	588	195	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	9926	10492	-					yaaH		ECB_00010	567		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	9926	10492	-	ACT37703.1			conserved inner membrane protein associated with acetate transport	yaaH		ECB_00010	567	188	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	10641	11354	-					yaaW		ECB_00011	714		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	10641	11354	-	ACT37704.1			hypothetical protein	yaaW		ECB_00011	714	237	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	10828	11313	+					htgA		ECB_00012	486		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	10828	11313	+	ACT37705.1			hypothetical protein	htgA		ECB_00012	486	161	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	11380	11784	-					yaaI		ECB_00013	405		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	11380	11784	-	ACT37706.1			hypothetical protein	yaaI		ECB_00013	405	134	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	12161	14077	+					dnaK		ECB_00014	1917		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	12161	14077	+	ACT37707.1			molecular chaperone DnaK	dnaK		ECB_00014	1917	638	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	14166	15296	+					dnaJ		ECB_00015	1131		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	14166	15296	+	ACT37708.1			chaperone Hsp40, co-chaperone with DnaK	dnaJ		ECB_00015	1131	376	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	15443	16555	+					insL-1		ECB_00016	1113		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	15443	16555	+	ACT37709.1			IS186 hypothetical protein	insL-1		ECB_00016	1113	370	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	16749	16958	-					mokC		ECB_00017	210		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	16749	16958	-	ACT37711.1			regulatory protein for HokC, overlaps CDS of hokC	mokC		ECB_00017	210	69	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	16749	16901	-					hokC		ECB_04280	153		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	16749	16901	-	ACT37710.1			small toxic membrane polypeptide	hokC		ECB_04280	153	50	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	17488	18654	+					nhaA		ECB_00018	1167		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	17488	18654	+	ACT37712.1			pH-dependent sodium/proton antiporter	nhaA		ECB_00018	1167	388	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	18714	19619	+					nhaR		ECB_00019	906		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	18714	19619	+	ACT37713.1			DNA-binding transcriptional activator	nhaR		ECB_00019	906	301	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	19658	20617	-							ECB_00020	960		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	19658	20617	-	ACT37714.1			hypothetical protein			ECB_00020	960	319	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	20630	21775	-							ECB_00021	1146		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	20630	21775	-	ACT37715.1			putative usher protein			ECB_00021	1146	381	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	22208	22912	-							ECB_00022	705		
